t_s,rps
0,52.4
60,50.5
120,50.5
180,45.4
240,55.4
300,53.6
360,49.8
420,52.2
480,50.8
540,48.6
600,52.1
660,48.7
720,48.5
780,47.1
840,49.9
900,48.4
960,49.7
1020,46.7
1080,48.3
1140,45.6
1200,49.6
1260,47.8
1320,47.9
1380,47.9
1440,44.3
1500,48.4
1560,51.2
1620,42.2
1680,41.7
1740,42.1
1800,47.5
1860,45.6
1920,47.7
1980,46.6
2040,45.2
2100,45.2
2160,43.9
2220,46.2
2280,41.2
2340,42.7
2400,44.1
2460,47.7
2520,41.4
2580,40.4
2640,41.5
2700,45.0
2760,41.9
2820,45.5
2880,37.6
2940,44.6
3000,44.2
3060,38.2
3120,41.8
3180,44.1
3240,41.3
3300,43.3
3360,46.4
3420,41.2
3480,203.3
3540,201.9
