pods,pods_ondemand,pods_spot,cpu_util,rps,p95,p99,cost_per_hr,t_s,policy,seed
2.0,2.0,0.0,0.1275175358104572,0.0,,,2.0,0.0,hpa,0
6.0,6.0,0.0,0.08971975654233849,0.0,,,6.0,60.0,hpa,0
6.0,6.0,0.0,0.25596024644560467,0.0,,,6.0,120.0,hpa,0
6.0,6.0,0.0,0.2528612199375032,10.121433628606521,0.1984782663492,0.28192860425923094,6.0,180.0,hpa,0
6.0,6.0,0.0,0.29835562520530895,12.80670403209114,0.24021509264597019,0.2880430185291941,6.0,240.0,hpa,0
12.0,12.0,0.0,0.26634952501705167,27.757811110559487,0.26822057522676873,0.29635617290219596,12.0,300.0,hpa,0
12.0,12.0,0.0,0.24357352496782564,38.85939697800097,0.27003602056484177,0.2945695494176796,12.0,360.0,hpa,0
12.0,12.0,0.0,0.2374149855450576,47.03451730743322,0.26960361754729356,0.29463296797786565,12.0,420.0,hpa,0
12.0,12.0,0.0,0.2393235507843462,46.35903763419495,0.27306018796305864,0.2988358016711046,12.0,480.0,hpa,0
12.0,12.0,0.0,0.22568020964287516,45.03756263683051,0.26423545952607547,0.29342907590531575,12.0,540.0,hpa,0
12.0,12.0,0.0,0.22201339422537752,44.72049014269075,0.27509038052268764,0.29799037027842484,12.0,600.0,hpa,0
12.0,12.0,0.0,0.22117990055698367,48.84526632364185,0.27104873017082814,0.29679761239896063,12.0,660.0,hpa,0
12.0,12.0,0.0,0.2202042955108087,41.40916927127575,0.26327868442305863,0.29297526543826974,12.0,720.0,hpa,0
12.0,12.0,0.0,0.22787756305721102,45.058617339364666,0.2740363227154484,0.2974084370208506,12.0,780.0,hpa,0
12.0,12.0,0.0,0.21275644450715525,42.76333768160923,0.27308508887572325,0.2971258044684304,12.0,840.0,hpa,0
12.0,12.0,0.0,0.22214514004313646,46.037124438236255,0.2719884090101482,0.2976283702991974,12.0,900.0,hpa,0
12.0,12.0,0.0,0.20878840573689197,46.59447405291865,0.267951622075117,0.29789399530660043,12.0,960.0,hpa,0
12.0,12.0,0.0,0.2190121754819688,46.226014496548636,0.2747021439974935,0.29920178897368266,12.0,1020.0,hpa,0
12.0,12.0,0.0,0.2417934230444668,45.600840500627775,0.2718954651598735,0.29655300045084315,12.0,1080.0,hpa,0
12.0,12.0,0.0,0.23638354995739355,48.946717328464985,0.27415828800747,0.2956139461712549,12.0,1140.0,hpa,0
12.0,12.0,0.0,0.2115556659811217,46.336327504546176,0.272978101314633,0.29769237940386273,12.0,1200.0,hpa,0
12.0,12.0,0.0,0.230911933565789,47.564265980756716,0.271003166410444,0.2965643843616689,12.0,1260.0,hpa,0
