pods,pods_ondemand,pods_spot,cpu_util,rps,p95,p99,cost_per_hr,offered_rps,served_rps,p95_client,slo_violation,shortfall_frac,t_s,policy,seed
6.0,6.0,0.0,0.054994193395981696,0.0,24.922739325849896,0.0,6.0,52.4,0.0,24.922739325849896,1,1.0,0.0,hpa,2
6.0,6.0,0.0,0.26573315734723474,51.289324472433194,0.9026598737999993,0.18476338842123574,6.0,50.5,51.289324472433194,0.9026598737999993,1,0.0,60.0,hpa,2
8.0,8.0,0.0,0.2285231842717627,51.84264794047424,0.24636732965,0.19376317993965214,8.0,50.5,51.84264794047424,0.24636732965,1,0.0,120.0,hpa,2
8.0,8.0,0.0,0.21533365477623945,47.326223571482124,0.19869866049999999,0.1932497830127696,8.0,45.4,47.326223571482124,0.19869866049999999,0,0.0,180.0,hpa,2
8.0,8.0,0.0,0.2221488204664681,56.40129054277799,0.35872507435,0.1931192062656105,8.0,55.4,56.40129054277799,0.35872507435,1,0.0,240.0,hpa,2
8.0,8.0,0.0,0.23355996507590882,56.92482953004705,0.4385658877999998,0.1919940586214282,8.0,53.6,56.92482953004705,0.4385658877999998,1,0.0,300.0,hpa,2
8.0,8.0,0.0,0.2079978619062635,52.25364595521174,0.3647794877499999,0.1885072937824451,8.0,49.8,52.25364595521174,0.3647794877499999,1,0.0,360.0,hpa,2
8.0,8.0,0.0,0.2130550215844054,55.52008502680275,0.3404858739499999,0.1944193643622752,8.0,52.2,55.52008502680275,0.3404858739499999,1,0.0,420.0,hpa,2
8.0,8.0,0.0,0.21394822110510206,53.308665964749494,0.25874975780000004,0.179943033527351,8.0,50.8,53.308665964749494,0.25874975780000004,1,0.0,480.0,hpa,2
8.0,8.0,0.0,0.21127933444794098,51.98190321441271,0.362526278,0.1900895393906653,8.0,48.6,51.98190321441271,0.362526278,1,0.0,540.0,hpa,2
8.0,8.0,0.0,0.21380825436748446,55.46491882519599,0.396229019,0.19321978412234475,8.0,52.1,55.46491882519599,0.396229019,1,0.0,600.0,hpa,2
8.0,8.0,0.0,0.21353352166498987,49.30467946372622,0.32710688740000043,0.18507230100437927,8.0,48.7,49.30467946372622,0.32710688740000043,1,0.0,660.0,hpa,2
8.0,8.0,0.0,0.23207164235763783,50.73236748142264,0.25852941725,0.1918957403489773,8.0,48.5,50.73236748142264,0.25852941725,1,0.0,720.0,hpa,2
8.0,8.0,0.0,0.20301965160047805,49.300519959601914,0.2497703477499992,0.18352761071219645,8.0,47.1,49.300519959601914,0.2497703477499992,1,0.0,780.0,hpa,2
