policy,seed,violation_rate,cost_hr,pods_mean,pods_spot_mean,p95_median,p95_p90,p95_max,shortfall_rate
hpa,0,0.6166666666666667,8.0,8.0,0.0,0.24595998052221024,0.5703164868974302,17.015,0.05
rl_homogeneous,0,0.6166666666666667,8.3,8.15,0.0,0.2408457890183487,0.5383189730297218,0.751647985689982,0.05
hpa,1,0.5666666666666667,8.0,8.0,0.0,0.22431347945350733,0.4944267380754309,11.39,0.03333333333333333
rl_homogeneous,1,0.55,8.366666666666667,8.2,0.0,0.2217838430270192,0.6763375705182894,60.0,0.06666666666666667
hpa,2,0.6333333333333333,8.0,8.0,0.0,0.24650365131007707,0.6085851898977193,11.39,0.03333333333333333
rl_homogeneous,2,0.6166666666666667,8.433333333333334,8.25,0.0,0.2512073486138233,0.5997545745338361,60.0,0.03333333333333333
hpa,3,0.6,8.0,8.0,0.0,0.22158971544375128,1.3849928530780018,22.64,0.06666666666666667
rl_homogeneous,3,0.5833333333333334,8.5,8.316666666666666,0.0,0.2249702468116379,1.3849928530780018,22.64,0.06666666666666667
hpa,4,0.5,8.0,8.0,0.0,0.19904567069723295,0.7221650279381491,17.015,0.05
rl_homogeneous,4,0.5,8.216666666666667,8.066666666666666,0.0,0.1991746698021557,0.7765794816689552,17.015,0.05
hpa,5,0.4666666666666667,8.0,8.0,0.0,0.17685262332820548,0.6191786817421133,22.64,0.06666666666666667
rl_homogeneous,5,0.4166666666666667,8.666666666666666,8.433333333333334,0.0,0.16821550221379672,0.6191786817421133,60.0,0.06666666666666667
hpa,6,0.6333333333333333,8.0,8.0,0.0,0.2697791782331235,1.5241613826903972,28.265,0.08333333333333333
rl_homogeneous,6,0.6666666666666666,8.45,8.283333333333333,0.0,0.27374891978044424,1.5241613826903972,28.265,0.08333333333333333
hpa,7,0.5,8.0,8.0,0.0,0.200524480037015,0.665071567846908,22.64,0.06666666666666667
rl_homogeneous,7,0.5,8.516666666666667,8.3,0.0,0.19773797915512875,0.3928384850128537,60.0,0.06666666666666667
hpa,8,0.5666666666666667,8.0,8.0,0.0,0.21442129010644317,0.6506768195368493,17.015,0.05
